名称,交易模式,预估总价,投递人数,detail_url,任务需求
【产品原型设计】招募数字藏品行业产品经理，可远程,招标,¥5000-10000,2人,https://task.epwk.com/1001028/,"岗位职责：
1、负责NFT数字藏品交易平台产品策划和功能迭代
2、负责选型和设计适用数字藏品商城的活动和产品策划，并推动相关应用和解决方案的落地
3、发掘区块链产品增长点，发掘市面上通用区块链产品
4、数据分析，针对目标客户画像制定产品增长策略
具体工作：
1. 负责梳理产品需求，明确产品功能，撰写产品文档（PRD），设计产品原型，跟进产品交互设计/研发上线
岗位要求：
1. 1年以上产品策划经验、英语可作为工作语言；
2. 有NFT、元宇宙、线上商城、金融项目经验者优先
薪资待遇：
试用期一个月，试用期薪资为8000，奖金2000每月。正式薪资月薪10000，奖金2000每月。表现良好可以在流水中分成。
需要全职，可远程。"
【短视频制作】短视频制作（含主播口播、录制、剪辑）,招标,¥20000-50000,6人,https://task.epwk.com/1001148/,"1.数量：首期180条，配合良好长期合作
2.预算：150-200元每条
3.事项：我们提供文案，合作方负责安排主播口播、录制、剪辑，每条视频600字左右，大概3分钟时长
4.要求：主播形象好，书卷味浓的更好；普通话标准，最好是播音主持专业毕业；180条视频标配整体性较强的封面，标注文件标题；视频有纯音乐配乐和字幕
5.周期：每天提交4条以上，45天完成
如果还有不清楚的地方，欢迎加微信沟通，谢谢！"
【LOGO设计】教育行业LOGO设计,单人悬赏,¥1000,6人,https://task.epwk.com/1001169/,"1、Logo名称：长青藤
2、图形和中文结合，如果有必要也可以加上拼音或者英文；
3、Logo应用于教育行业，主要是家庭教育方向；
4、简约大气，具有较高辨识度，尤其是图形标志；
5、寓意参考：1）藤类是最善于进取的植物，有一点阳光，有一点机会都会不断向上；父母希望自己的子女，也像那永远向上的青藤，积极乐观，永远长青。2）美国最优秀的前八所大学合称为长青藤学校，也译为常青藤或者常春藤，简称藤校。"
【广告设计】汽车生活馆门头广告排版美化,单人悬赏,¥500,6人,https://task.epwk.com/1001256/,"如图，汽车生活馆左一和左二店铺是展厅，左三是洗车房，门头广告大概20米长，1.2米高，广告材质为铝塑板+发光字，各位可以发挥自己创意，对广告进行重新排版和美化 ，字体和字颜色可以调整，中间V-KOOL汽车膜和AX改色膜有心人能找下专用字体在排版美化是最好，两个品牌官网有素材，我自己没时间去弄。
汽车生活馆定位服务高端客户，广告效果要求以简洁大方为主。"
【小程序开发】通达信个股成交明细下载小工具开发,招标,¥100-1000,2人,https://task.epwk.com/1000162/,"excel 多个表，批量导入导出工具，
几十个表格批量导入后，导出来，目的是做总表合并。
这里有一个重点说明的，参考附件表，所有格式都是这样的。
合并的内容是 A,B,C,D,E 的 第5行开始的往下内容，这是重点。
如果可以做小工具，请qq或微信联系。"
【网站UI设计】phyton前端开发,招标,¥10000-20000,6人,https://task.epwk.com/999735/,通过fd实现一个功能  项目很多 我提供思路 有时间的大哥联系我 个人来  不要公司
【LOGO设计】ANMSI 安美矽公司 LOGO设计,单人悬赏,¥500,0人,https://task.epwk.com/1000753/,"英文：ANMSI 中文：安美矽 
行业：IC集成电路芯片  国际贸易 科技公司
运用：运用于网站 品牌宣传等
设计要求：
1颜色：颜色鲜明 亮眼 纯色或2个颜色 （不超3种颜色）
2 LOGO 可以纯英文字母图形设计 也可以图形+英文图形
3 简单 大气 国际化 易于各种应用 
附件为同行业LGOGO 可参考设计
知识产权说明：
 
1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;
2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。"
【其他软件开发】saas小程序开发,雇佣,¥80000,0人,https://task.epwk.com/1000474/,需求见附件为了不浪费彼此时间请细读以下要求：1、拒绝无自主案例开发者、有saas案例者优先。2、拒绝预付款、所有款项只限平台托管交易。3、带设备入驻开发。4、双方合作必须有实际的违约责任并且开发者在平台有一定违约保证金。5、文盲、小白勿扰。
【脚本开发】短视频渠道运营推广协议脚本制作,雇佣,¥50000,1人,https://task.epwk.com/1001323/,短视频渠道运营推广协议脚本制作，具体细节详谈
【系统工具】图像识别系统开发,招标,¥50000-100000,0人,https://task.epwk.com/1001109/,我需要做一个图像识别系统做一个图像识别系统不规则图形外wei轮廓描点、获取点的坐标加我 详细需求我发你没有开发经验的 不用联系我了
【APP开发】做一个旅游app,招标,¥50000-100000,9人,https://task.epwk.com/1000962/,"做一个旅游APP
有别人公司的类似案例
要求在原有的一些功能基础上有一定的创新
没有能力创新点就不要联系我了
案例我已经上传到附件里面了
能看懂的就联系我吧"
【其他软件开发】智慧图书馆管理平台,招标,¥50000-100000,1人,https://task.epwk.com/1000826/,有成熟的高校图书馆管理平台的来
【电商网站】开发2B2C供应链多商户入驻电商平台,招标,¥50000-100000,9人,https://task.epwk.com/1000707/,要找一家实力强大的技术公司开发2B2C，供应链，多商户入驻电商平台，具体详谈
【APP开发】同城行业信息发布，需到广东清远驻场开发,招标,¥50000-100000,0人,https://task.epwk.com/1000392/,"j
ava语言    驻场开发   地点：广东清远
1、实名注册：实名人脸+指纹+手机号+身份证
2、手机精准定位城市登录
3、动态信息发布：文字、图片、视频
4、信息关键词信息匹配
5、商家入驻
6、个人中心
7、商家店铺：介绍、说明、展示、参数
8、划分区域管理员
9、线上，线下下单、实体店消费抵扣
10、资金直接转入商家账户
11、各行业分类
12、聊天对话工具"
【APP开发】音视频连线项目,招标,¥50000-100000,6人,https://task.epwk.com/1000362/,"子在川上:
需求大致    说明
    访谈过程管理    预约供应商    配置访谈规则    (1)以供应商为单位，设置对其进行人工访谈或系统自动访谈，但供应商不应知道是人工访谈还是自动访谈。
(2)选取经过审批的访谈流程，将其作为本次访谈流程。
监察处/法律合规部，根据待访谈池中的供应商授权人信息，通过短信公众号方式发送预约确认链接
针对访谈预约，供应商授权人进行确认或者提交更改申请。确认后，系统发送访谈信息至供成商授权人手机
供应商授权人点击访谈链接地址后，通过微信小程序或手机0页或APF进入到系统    访谈流程是不是每个项目是固定的?是否灵活配置?
    预约供应商访谈
确认访谈预约    
    
    启动访谈    启动访谈流程    H5，小程序，android. ios四端，
    身份识别验证与活体检测    系统根据供应商授权人信息，启动人脸识别，审核身份真实性。审核通过则进入访谈
界面;审核失败则纳入访谈异常池    用第三方
用第三方，是否是一个屏幕只显示
对方的图像?还是一个屏幕显示交流双方的2个图像同屏?
    远程视频    调用供应商的手机摄像头，获取供应商的视频;供应商端和人工出席端均显示远程视频信息    (1)系统在供应商端调用手机摄像头，实时展示供应商本地视频信息。
(2)系统在供应商端展示远程端视频信息。若是系统自动访谈，则展示泰规宝机器人图像;若是人工访谈，则展示人工业席端视频信息。
(3)人工坐席端同步显示供应商实时的远程视频。
    人工坐席端访谈工作台    显示访谈流程、访谈问题、远程视频、本地视频、务信息、供应商信息    显示每次访谈的访谈流程、访谈问题、远程视频、本地视频业务信息、供应商信息、供应商上传资料等。    常用菜单快捷进入
用第三方
    语音识别    自动识别供应商对问题的回答，
转为文字存储    系统根据供应商的语音，自动识别并判断出供成商对问题的回答
    自动访谈    针对自动访谈的供应商，系统根据访谈流程，实现自动播报访谈        用第三方
    上传资料    供应商根据问题上传相应资料文件，该功能前置到采购系统中实现
子在川上:
这次要不让他们直接加我微信吧"
【APP开发】打车迭代升级开发,雇佣,¥50000,2人,https://task.epwk.com/1000128/,"本次产品需要迭代升级开发，java 语言、对接口性能指标、并发、日处理订单、日活 、月活等都有要求。
要求开发公司、团队 无不良征信记录。 有开发打车类经验的团队和公司优先。提供虚假案例或者别人案例者 慎重。
要签订严格规范的开发合同。
本公司诚信寻找优质合作商、长期合作。非诚勿扰。 （禁止沟通中、无搅蛮缠、采取蒙骗）
满足上述条件者可以面议。"
【教育教学】需要智慧校园系统,招标,¥50000-100000,1人,https://task.epwk.com/998239/,"需要现成和案例的来
有意向的联系我"
【APP开发】U3D开发需求,雇佣,¥30000,0人,https://task.epwk.com/1000568/,"u3d开发需求
1.开发u3d经验3年以上
2.做过至少1款AR/VR
3.可以来公司驻场开发昌平区龙旗广场
4.有和后端服务器端联调经验
5.开发时间早10-晚7
6.具体开发功能文档可单发"
【定制开发】网盘开发,雇佣,¥25000,6人,https://task.epwk.com/1001014/,"只开发网盘部分内容，大致ui效果图已经出来了，里面的逻辑关系也整理好了
资料地址
链接: https://pan.baidu.com/s/1LeAYakTj9HZ-RFE9mZpotQ?pwd=w4qz 提取码: w4qz 复制这段内容后打开百度网盘手机App，操作更方便哦"
【机械设备】汽车方面的机械设计,招标,¥20000-50000,1人,https://task.epwk.com/1001244/,"项目:汽车方面的机械设计
称呼:张先生
地区:陕西西安
需求:汽车方面的机械设计，下边的这种震动平台，模拟汽车颠簸，如图所示，不是工厂，我是有特殊需求，定制生产，现在就要做，做整体设计，微信沟通
预算:联系报价 注意：联系说一品威客小丽推荐，"
【其他软件开发】智慧供应链管理系统开发,招标,¥20000-50000,7人,https://task.epwk.com/1001167/,智慧供应链管理系统    系统功能：用于学生掌握供应链的采购策、生产、物流网络规划、市场销售等决策系统依托SCOR模型，以全国节点城市为业务目标城市，根据供应链核心的采购管理、生产管理、物流管理以及市场管理设置对应决策，多个学生以团队的形式模拟经营生产型企业，围绕市场需求先确定生产计划和销售计划，根据生产计划确定原材料采购进行产品生产，根据销售计划确定物流网络构建和发展规划。同时以游戏化的表达方式吸引学生投入供应链经营，结合大量的数据分析，使其能够在实验过程中深刻掌握供应链的采购决策、生产决策、物流网络规划、市场销售决策，为供应链管理教学提供相应支持。教师端、学生端四大核心功能模块包含采购管理系统、生产管理系统、物流管理系统、市场管理系统。
